"","datetime","temp","do","do_sat"
"1208",2024-05-26 22:10:00,9.439,9.311,81.398673
"1209",2024-05-26 22:20:00,9.273,9.281,80.815845
"1210",2024-05-26 22:30:00,9.384,9.257,80.820624
"1211",2024-05-26 22:40:00,9.421,9.232,80.673448
"1212",2024-05-26 22:50:00,9.402,9.235,80.663142
"1213",2024-05-26 23:00:00,9.421,9.232,80.673448
"1214",2024-05-26 23:10:00,9.421,9.22,80.568586
"1215",2024-05-26 23:20:00,9.365,9.164,79.972432
"1216",2024-05-26 23:30:00,9.282,9.188,80.02323
"1217",2024-05-26 23:40:00,9.245,9.174,79.830707
"1218",2024-05-26 23:50:00,9.162,9.174,79.672414
"1219",2024-05-27,9.18,9.173,79.698048
"1220",2024-05-27 00:10:00,9.162,9.195,79.854791
"1221",2024-05-27 00:20:00,9.227,9.205,80.066013
"1222",2024-05-27 00:30:00,9.264,9.226,80.319655
"1223",2024-05-27 00:40:00,9.273,9.221,80.293385
"1224",2024-05-27 00:50:00,9.273,9.216,80.249847
"1225",2024-05-27 01:00:00,9.254,9.219,80.239544
"1226",2024-05-27 01:10:00,9.199,9.221,80.151506
"1227",2024-05-27 01:20:00,9.217,9.259,80.516461
"1228",2024-05-27 01:30:00,9.254,9.266,80.648618
"1229",2024-05-27 01:40:00,9.245,9.267,80.639979
"1230",2024-05-27 01:50:00,9.245,9.268,80.648681
"1231",2024-05-27 02:00:00,9.236,9.243,80.413838
"1232",2024-05-27 02:10:00,9.19,9.255,80.429729
"1233",2024-05-27 02:20:00,9.208,9.236,80.299171
"1234",2024-05-27 02:30:00,9.18,9.218,80.089023
"1235",2024-05-27 02:40:00,9.125,9.213,79.940274
"1236",2024-05-27 02:50:00,9.134,9.22,80.018255
"1237",2024-05-27 03:00:00,9.171,9.203,79.941482
"1238",2024-05-27 03:10:00,9.134,9.219,80.009576
"1239",2024-05-27 03:20:00,9.125,9.229,80.079104
"1240",2024-05-27 03:30:00,9.134,9.215,79.974861
"1241",2024-05-27 03:40:00,9.153,9.2,79.881005
"1242",2024-05-27 03:50:00,9.069,9.208,79.78976
"1243",2024-05-27 04:00:00,9.05,9.191,79.606178
"1244",2024-05-27 04:10:00,8.976,9.189,79.447653
